Chrom (mm10),Start (mm10),End (mm10),Assembly (original),Chrom (original),Start (original),End (original),VISTA identifier,Limb-activity,Considered in ML
chr3,18378051,18379010,hg19,chr8,65828869,65829844,hs838,negative,yes
chr3,18713569,18714476,hg19,chr8,66148927,66149836,hs303,negative,yes
chr3,20144419,20146014,mm9,chr3,20044305,20045900,mm86,negative,yes
chr3,26001539,26004971,hg19,chr3,173448118,173452132,hs1712,negative,yes
chr3,28420158,28422161,hg19,chr3,171022891,171027653,hs2119,negative,yes
chr3,28429164,28433506,hg19,chr3,171011050,171015963,hs2118,negative,yes
chr3,28438282,28441962,hg19,chr3,170999516,171003506,hs2117,negative,yes
chr3,29979822,29980970,hg19,chr3,168833392,168834540,hs477,negative,yes
chr3,30104532,30109280,hg19,chr3,168958333,168962944,hs1433,positive,yes
chr3,33882396,33883856,hg19,chr3,180436427,180437958,hs258,positive,yes
chr3,33905209,33906178,hg19,chr3,180461825,180462874,hs655,negative,yes
chr3,34103627,34105807,hg19,chr3,180773639,180775802,hs192,negative,yes
chr3,35087536,35089765,hg19,chr3,181958774,181961127,hs1332,negative,yes
chr3,35102311,35103774,mm9,chr3,35001233,35002696,mm639,negative,yes
chr3,35340406,35342017,mm9,chr3,35239328,35240939,mm640,negative,yes
chr3,36158852,36162657,hg19,chr16,31733057,31734604,hs86,negative,yes
chr3,37671699,37674083,hg19,chr4,124383428,124386454,hs1582,negative,yes
chr3,37894700,37898826,hg19,chr4,124775814,124779530,hs1525,positive,yes
chr3,39047259,39049329,hg19,chr4,126439832,126442014,hs1389,negative,yes
chr3,40452073,40454177,hg19,chr4,128406285,128407745,hs2417,negative,yes
chr3,41157758,41159376,hg19,chr4,129278773,129280245,hs2412,negative,yes
chr3,51725540,51729617,hg19,chr4,140682864,140686286,hs1953,negative,yes
chr3,51778044,51779171,mm9,chr3,51581966,51583093,mm472,negative,yes
chr3,51907571,51910645,mm9,chr3,51711493,51714567,mm1388,negative,yes
chr3,52401126,52402130,mm9,chr3,52205048,52206052,mm366,negative,yes
chr3,55753972,55757760,hg19,chr13,36072914,36075972,hs1333,negative,yes
chr3,55964735,55966742,hg19,chr13,35772272,35774420,hs1330,negative,yes
chr3,60602211,60603664,mm9,chr3,60406133,60407586,mm163,negative,yes
chr3,63869819,63872427,mm9,chr3,63673741,63676349,mm1365,negative,yes
chr3,65926996,65930132,hg19,chr3,156845778,156849158,hs2232,negative,yes
chr3,66700787,66701918,hg19,chr3,157589226,157590363,hs638,positive,yes
chr3,66744502,66746109,hg19,chr3,157636456,157638041,hs1409,negative,yes
chr3,66934735,66937240,hg19,chr3,157775742,157778000,hs1251,negative,yes
chr3,67009377,67010623,hg19,chr3,157850874,157852181,hs602,negative,yes
chr3,67036007,67037651,hg19,chr3,157882303,157883963,hs636,positive,yes
chr3,67070295,67071594,hg19,chr3,157903310,157904642,hs741,positive,yes
chr3,67146973,67147795,hg19,chr3,157989611,157990466,hs256,negative,yes
chr3,67170618,67171970,hg19,chr3,158009522,158010836,hs1254,negative,yes
chr3,67190932,67192590,hg19,chr3,158025746,158027384,hs257,negative,yes
chr3,67212684,67213884,hg19,chr3,158085650,158086832,hs1413,positive,yes
chr3,67309670,67310443,hg19,chr3,158201553,158202329,hs832,negative,yes
chr3,67340647,67341402,hg19,chr3,158245851,158246580,hs784,negative,yes
chr3,67550193,67552228,hg19,chr3,158486256,158493372,hs1990,negative,yes
chr3,70311300,70313815,mm9,chr3,70115222,70117737,mm675,negative,yes
chr3,72475819,72479350,hg19,chr3,164170901,164174258,hs1982,negative,yes
chr3,76465722,76469421,mm9,chr3,76269644,76273343,mm1370,negative,yes
chr3,82970875,82971669,hg19,chr4,155580703,155582056,hs1707,negative,yes
chr3,84937098,84939574,hg19,chr4,153287655,153290517,hs1361,negative,yes
chr3,86531948,86532261,hg19,chr4,151520107,151520421,hs1872,negative,yes
chr3,86556609,86557615,hg19,chr4,151493651,151494654,hs657,negative,yes
chr3,86699824,86700906,hg19,chr4,151288357,151289369,hs948,negative,yes
chr3,86849164,86851976,hg19,chr4,151096473,151099299,hs1614,negative,yes
chr3,87982680,87986876,hg19,chr1,156630249,156635284,hs1891,positive,yes
chr3,88138105,88141065,mm9,chr3,87942027,87944987,mm19,negative,yes
chr3,88518217,88523366,hg19,chr1,156065479,156069043,hs2128,negative,yes
chr3,88525859,88528018,hg19,chr1,156059426,156062550,hs2127,negative,yes
chr3,98092572,98095417,mm9,chr3,97896495,97899340,mm1392,negative,yes
chr3,98855051,98855630,mm9,chr3,98658974,98659553,mm250,negative,yes
chr3,99232927,99236556,mm9,chr3,99036850,99040479,mm890,negative,yes
chr3,99259779,99263564,mm9,chr3,99063702,99067487,mm888,negative,yes
chr3,99330607,99331570,hg19,chr1,119452558,119453594,hs499,negative,yes
chr3,99665316,99667145,hg19,chr1,119028026,119029955,hs1428,positive,yes
chr3,100437197,100440090,mm9,chr3,100241120,100244013,mm97,negative,yes
chr3,100482353,100482938,mm9,chr3,100286276,100286861,mm164,negative,yes
chr3,102062054,102063652,mm9,chr3,101865977,101867575,mm93,negative,yes
chr3,104596935,104600599,mm9,chr3,104400858,104404522,mm143,negative,yes
chr3,108389934,108392442,hg19,chr1,109816874,109818905,hs2263,negative,yes
chr3,108409603,108412500,hg19,chr1,109795696,109798850,hs2216,negative,yes
chr3,119361442,119362694,hg19,chr1,97610491,97611741,hs671,negative,yes
chr3,121735097,121737629,mm9,chr3,121438015,121440547,mm1327,negative,yes
chr3,121953542,121954391,mm9,chr3,121656460,121657309,mm434,negative,yes
chr3,122032210,122035024,mm9,chr3,121735128,121737942,mm1360,negative,yes
chr3,122047471,122049247,mm9,chr3,121750389,121752165,mm435,negative,yes
chr3,122292915,122294267,mm9,chr3,121995833,121997185,mm436,negative,yes
chr3,127626842,127627905,hg19,chr4,113442390,113443530,hs981,negative,yes
chr3,127913726,127915301,mm9,chr3,127616644,127618219,mm929,negative,yes
chr3,128230116,128231767,hg19,chr4,112668302,112669915,hs926,negative,yes
chr3,128343087,128344790,hg19,chr4,112556474,112558292,hs928,negative,yes
chr3,128450191,128451286,hg19,chr4,112421802,112422905,hs559,negative,yes
chr3,128518773,128521316,mm9,chr3,128221691,128224234,mm930,negative,yes
chr3,128668527,128670001,hg19,chr4,112130976,112132385,hs931,negative,yes
chr3,128719111,128720732,hg19,chr4,112035956,112037560,hs927,negative,yes
chr3,128849320,128852008,hg19,chr4,111914861,111917609,hs424,negative,yes
chr3,128925922,128927117,hg19,chr4,111834455,111835732,hs929,negative,yes
chr3,129103806,129105710,hg19,chr4,111669259,111671168,hs930,negative,yes
chr3,129178433,129178935,hg19,chr4,111578273,111578827,hs500,negative,yes
chr3,129227195,129227767,hg19,chr4,111530174,111530773,hs507,negative,yes
chr3,130439552,130441737,hg19,chr4,109893210,109895294,hs2021,negative,yes
chr3,130737081,130738563,hg19,chr4,109531908,109533465,hs1050,negative,yes
chr3,130961755,130964427,hg19,chr4,109254340,109257033,hs1545,negative,yes
chr3,131136338,131137858,hg19,chr4,109062224,109063783,hs918,negative,yes
chr3,134302378,134303703,hg19,chr4,105345575,105346895,hs260,negative,yes
chr3,137783219,137786437,mm9,chr3,137446183,137449401,mm4,negative,yes
chr3,138742669,138745155,hg19,chr4,99576760,99579288,hs2086,negative,yes
chr3,141111699,141113451,hg19,chr4,96878170,96879875,hs1691,negative,yes
chr3,142237412,142239504,hg19,chr4,95589445,95591459,hs1438,positive,yes
chr3,143100892,143102627,hg19,chr1,88926796,88928508,hs327,negative,yes
chr3,143160907,143162289,hg19,chr1,88841735,88843091,hs1068,negative,yes
chr3,143332585,143334248,hg19,chr1,88686076,88687740,hs1107,negative,yes
chr3,143377757,143379148,hg19,chr1,88646698,88648145,hs1216,negative,yes
chr3,143411019,143412241,hg19,chr1,88615687,88616927,hs878,positive,yes
chr3,143433866,143435040,hg19,chr1,88595049,88596320,hs1135,negative,yes
chr3,143454150,143455385,hg19,chr1,88577535,88578821,hs1200,negative,yes
chr3,143496223,143498959,hg19,chr1,88535719,88538390,hs1198,negative,yes
chr3,143613891,143615871,hg19,chr1,88402821,88404888,hs1055,negative,yes
chr3,143822295,143823649,hg19,chr1,88183654,88184961,hs1058,negative,yes
chr3,143913931,143915289,hg19,chr1,88108084,88109396,hs1002,negative,yes
chr3,143946947,143948486,hg19,chr1,88065041,88066530,hs1217,negative,yes
chr3,143982652,143983372,hg19,chr1,88028658,88029378,hs323,negative,yes
chr3,143985056,143986395,hg19,chr1,88025863,88027203,hs1161,negative,yes
chr3,144173689,144175124,hg19,chr1,87821621,87823082,hs174,positive,yes
chr3,144194510,144196428,hg19,chr1,87803415,87805212,hs1134,negative,yes
chr3,144203014,144204546,hg19,chr1,87795192,87796737,hs809,negative,yes
chr3,145964099,145964929,mm9,chr3,145627063,145627893,mm311,negative,yes
chr3,147443794,147444828,hg19,chr1,83878319,83879217,hs445,negative,yes
chr3,147862342,147863082,hg19,chr1,83411289,83412040,hs444,negative,yes
chr3,147918639,147919411,hg19,chr1,83360512,83361298,hs443,negative,yes
chr3,147930416,147931323,hg19,chr1,83345366,83346271,hs442,negative,yes
chr3,147965989,147967091,hg19,chr1,83310680,83311769,hs441,negative,yes
chr3,148032366,148033372,hg19,chr1,83252219,83253218,hs440,negative,yes
chr3,148060567,148061230,hg19,chr1,83220709,83221363,hs439,negative,yes
chr3,148588610,148589434,hg19,chr1,82664608,82665419,hs438,negative,yes
chr3,148589815,148590455,hg19,chr1,82663553,82664196,hs437,negative,yes
chr3,148699788,148700480,hg19,chr1,82557436,82558140,hs436,negative,yes
chr3,151383191,151390026,hg19,chr1,79541347,79549134,hs1989,positive,yes
chr3,152303123,152305850,mm9,chr3,151966087,151968814,mm72,negative,yes
chr4,5796827,5800336,mm9,chr4,5723974,5727483,mm718,negative,yes
chr4,5962014,5963794,hg19,chr8,59168210,59170121,hs1364,negative,yes
chr4,6745236,6747592,hg19,chr8,59769794,59772587,hs2029,negative,yes
chr4,6912470,6914779,hg19,chr8,59941214,59943636,hs1326,negative,yes
chr4,7567408,7568542,hg19,chr8,60543031,60544205,hs756,negative,yes
chr4,13786475,13789661,hg19,chr8,93070697,93073395,hs1599,positive,yes
chr4,13831424,13834052,hg19,chr8,93030368,93033345,hs1658,negative,yes
chr4,14024601,14026426,hg19,chr8,92824759,92826618,hs669,negative,yes
chr4,14272133,14278418,hg19,chr8,92609272,92613421,hs1601,negative,yes
chr4,22300833,22303031,hg19,chr6,99424724,99426847,hs530,negative,yes
chr4,22835084,22836758,hg19,chr6,99089361,99091043,hs1085,negative,yes
chr4,22927135,22928714,hg19,chr6,99005894,99007499,hs1014,negative,yes
chr4,22946232,22947173,hg19,chr6,98995483,98996450,hs290,negative,yes
chr4,23049134,23051887,hg19,chr6,98902034,98904516,hs1081,negative,yes
chr4,23145545,23147653,hg19,chr6,98831075,98833042,hs1159,negative,yes
chr4,23147679,23148836,hg19,chr6,98829860,98831049,hs1128,negative,yes
chr4,23172986,23174321,hg19,chr6,98813608,98814940,hs288,negative,yes
chr4,23341021,23341757,hg19,chr6,98719759,98720510,hs284,negative,yes
chr4,23504398,23505744,hg19,chr6,98572398,98573780,hs1106,negative,yes
chr4,23590043,23592040,hg19,chr6,98504034,98506058,hs1233,negative,yes
chr4,23601772,23603173,hg19,chr6,98491829,98493238,hs563,negative,yes
chr4,23636062,23637409,hg19,chr6,98461952,98463309,hs567,negative,yes
chr4,23713406,23714931,hg19,chr6,98382462,98383929,hs985,negative,yes
chr4,23731837,23733245,hg19,chr6,98362399,98363804,hs283,negative,yes
chr4,23810470,23812145,hg19,chr6,98278782,98280694,hs995,negative,yes
chr4,23831528,23833072,hg19,chr6,98261649,98263117,hs1054,negative,yes
chr4,23869809,23871832,hg19,chr6,98212329,98214701,hs1220,negative,yes
chr4,23983453,23984308,hg19,chr6,98116085,98116943,hs282,negative,yes
chr4,24018818,24020246,hg19,chr6,98074091,98075722,hs1035,positive,yes
chr4,24151153,24152087,hg19,chr6,97948958,97949898,hs1059,negative,yes
chr4,24212231,24215244,hg19,chr6,97912825,97915982,hs1564,negative,yes
chr4,24216914,24220803,mm9,chr4,24144061,24147950,mm1345,negative,yes
chr4,24428854,24430298,hg19,chr6,97754043,97755513,hs978,negative,yes
chr4,24669207,24670331,hg19,chr6,97544611,97545759,hs676,negative,yes
chr4,28862693,28863921,hg19,chr6,94074618,94075791,hs1737,negative,yes
chr4,32301903,32305410,mm9,chr4,32388878,32392385,mm720,negative,yes
chr4,44830265,44831018,hg19,chr9,37215016,37215775,hs310,negative,yes
chr4,44851630,44852605,hg19,chr9,37251207,37252223,hs901,negative,yes
chr4,44917363,44918981,hg19,chr9,37336630,37338306,hs620,negative,yes
chr4,45505842,45507105,hg19,chr9,38038695,38040099,hs2062,negative,yes
chr4,45828456,45831469,hg19,chr9,38425496,38429775,hs1390,positive,yes
chr4,46352102,46353592,hg19,chr9,100624863,100626679,hs1596,negative,yes
chr4,46366954,46371362,hg19,chr9,100636218,100640509,hs1717,negative,yes
chr4,54469466,54472653,hg19,chr9,109181334,109184572,hs1606,negative,yes
chr4,54611226,54614736,mm9,chr4,54624098,54627608,mm814,negative,yes
chr4,54651392,54653981,hg19,chr9,109382587,109385126,hs1398,negative,yes
chr4,57536400,57540225,mm9,chr4,57549272,57553097,mm1344,negative,yes
chr4,57845561,57847767,mm9,chr4,57858433,57860639,mm261,negative,yes
chr4,58666632,58672430,hg19,chr9,113923350,113928045,hs1447,positive,yes
chr4,62611143,62615332,mm9,chr4,62272177,62276366,mm1311,negative,yes
chr4,63056998,63058386,hg19,chr9,116726436,116727813,hs641,positive,yes
chr4,64437751,64439209,hg19,chr9,118227846,118230333,hs1625,negative,yes
chr4,65237235,65239737,mm9,chr4,64898269,64900771,mm774,negative,yes
chr4,66894392,66895290,mm9,chr4,66555426,66556324,mm279,negative,yes
chr4,70810017,70811660,hg19,chr9,83122286,83123599,hs1211,negative,yes
chr4,71130904,71132135,hg19,chr9,83412700,83413972,hs974,negative,yes
chr4,71466276,71467327,hg19,chr9,83711693,83712782,hs1228,negative,yes
chr4,71483744,71484988,hg19,chr9,83727123,83728378,hs240,negative,yes
chr4,71839683,71841070,hg19,chr9,84009516,84010866,hs722,negative,yes
chr4,72068926,72069840,hg19,chr9,84167351,84168176,hs1118,negative,yes
chr4,72166327,72168960,hg19,chr9,84264195,84266950,hs1359,negative,yes
chr4,72196487,72197365,hg19,chr9,84299210,84300117,hs556,negative,yes
chr4,72381989,72383115,hg19,chr9,84438198,84439339,hs583,negative,yes
chr4,72766130,72767260,hg19,chr9,84946893,84948036,hs752,negative,yes
chr4,72799662,72800540,hg19,chr9,84978274,84979131,hs800,negative,yes
chr4,73488434,73489492,hg19,chr9,85509632,85510687,hs618,negative,yes
chr4,75700793,75701396,hg19,chr9,8095553,8096166,hs304,negative,yes
chr4,76327004,76328750,hg19,chr9,8736481,8738586,hs1744,negative,yes
chr4,81468204,81471011,hg19,chr9,13314075,13315963,hs1986,negative,yes
chr4,81960417,81961865,hg19,chr9,13750115,13751398,hs852,negative,yes
chr4,82153582,82154380,hg19,chr9,13939547,13940363,hs305,positive,yes
chr4,82915373,82918271,mm9,chr4,82561277,82564175,mm56,negative,yes
chr4,83794853,83795171,hg19,chr9,15874184,15874505,hs306,negative,yes
chr4,84529017,84529746,hg19,chr9,16710536,16711184,hs307,negative,yes
chr4,84986009,84988497,hg19,chr9,17322200,17324371,hs529,negative,yes
chr4,84995828,84996432,hg19,chr9,17331971,17332580,hs308,negative,yes
chr4,89388208,89393783,mm9,chr4,89054899,89060474,mm371,negative,yes
chr4,89399831,89406701,mm9,chr4,89066522,89073392,mm373,negative,yes
chr4,89410605,89417157,mm9,chr4,89077296,89083848,mm375,negative,yes
chr4,89421046,89425353,mm9,chr4,89087737,89092044,mm468,negative,yes
chr4,89426411,89429104,mm9,chr4,89093102,89095795,mm10,negative,yes
chr4,89431159,89434211,hg19,chr9,22106994,22109800,hs1521,negative,yes
chr4,89439184,89446556,mm9,chr4,89105875,89113247,mm379,negative,yes
chr4,89452132,89455541,mm9,chr4,89118823,89122232,mm381,negative,yes
chr4,89457897,89460037,hg19,chr9,22127677,22130448,hs1695,negative,yes
chr4,89468919,89471433,mm9,chr4,89135610,89138124,mm677,negative,yes
chr4,90437298,90438340,hg19,chr9,23004730,23005789,hs643,negative,yes
chr4,91027482,91028588,hg19,chr9,23496285,23497394,hs309,negative,yes
chr4,95317405,95319020,hg19,chr1,59522325,59524092,hs1485,positive,yes
chr4,95821064,95823802,hg19,chr1,60102624,60105491,hs1609,negative,yes
chr4,97377585,97378602,hg19,chr1,61086857,61087871,hs683,negative,yes
chr4,97647212,97651215,mm9,chr4,97313903,97317906,mm1308,negative,yes
chr4,98107609,98110094,hg19,chr1,61917795,61920190,hs1309,positive,yes
chr4,98221540,98224627,hg19,chr1,62045460,62048159,hs1484,positive,yes
chr4,98242382,98245050,hg19,chr1,62053433,62055908,hs1450,negative,yes
chr4,99294411,99295982,hg19,chr1,63369349,63370894,hs311,negative,yes
chr4,99353164,99354624,hg19,chr1,63443534,63444884,hs168,negative,yes
chr4,99374142,99375600,hg19,chr1,63464282,63465717,hs169,negative,yes
chr4,99573882,99574766,hg19,chr1,63665219,63666122,hs764,negative,yes
chr4,105427474,105428608,mm9,chr4,105100079,105101213,mm1174,negative,yes
chr4,105860014,105863947,hg19,chr1,56240104,56242435,hs1622,positive,yes
chr4,106864212,106867561,hg19,chr1,54925046,54928826,hs1487,positive,yes
chr4,107602048,107604613,mm9,chr4,107274653,107277218,mm330,negative,yes
chr4,109762245,109763772,hg19,chr1,51165195,51166786,hs200,positive,yes
chr4,109805980,109807023,hg19,chr1,51098841,51099913,hs197,negative,yes
chr4,109858712,109860444,hg19,chr1,51034546,51036289,hs194,negative,yes
chr4,109882014,109883288,hg19,chr1,51006090,51007314,hs247,negative,yes
chr4,111552852,111553447,hg19,chr1,49112757,49113363,hs295,negative,yes
chr4,117390983,117392315,hg19,chr1,44989824,44991149,hs280,positive,yes
chr4,117646907,117647611,hg19,chr1,44715420,44716129,hs277,negative,yes
chr4,117828715,117831600,hg19,chr1,44500383,44503337,hs1857,negative,yes
chr4,119019151,119020076,mm9,chr4,118691756,118692681,mm165,negative,yes
chr4,119238785,119240197,mm9,chr4,118911390,118912802,mm586,negative,yes
chr4,120391668,120396254,hg19,chr1,41710596,41712937,hs1674,negative,yes
chr4,123604867,123607516,hg19,chr1,39629409,39631707,hs1999,negative,yes
chr4,123948793,123949704,hg19,chr1,39291500,39292441,hs850,negative,yes
chr4,123990361,123991796,hg19,chr1,39248757,39250129,hs1139,negative,yes
chr4,124035338,124036862,hg19,chr1,39192609,39194134,hs1031,negative,yes
chr4,124359245,124361243,hg19,chr1,38835996,38838106,hs1546,negative,yes
chr4,124375082,124376310,hg19,chr1,38819171,38820577,hs1045,negative,yes
chr4,124395350,124396098,hg19,chr1,38801888,38802630,hs270,negative,yes
chr4,124401703,124403018,hg19,chr1,38791998,38793333,hs1098,negative,yes
chr4,124455078,124456356,hg19,chr1,38735942,38737376,hs1008,negative,yes
chr4,124458302,124460392,hg19,chr1,38728185,38732516,hs2088,negative,yes
chr4,124477457,124479255,hg19,chr1,38712075,38713517,hs1001,negative,yes
chr4,124520132,124521366,hg19,chr1,38662809,38664040,hs790,negative,yes
chr4,124526301,124527139,hg19,chr1,38656780,38657626,hs1179,negative,yes
chr4,124551047,124552186,hg19,chr1,38627529,38629265,hs1124,negative,yes
chr4,124615409,124616813,hg19,chr1,38560194,38561606,hs238,negative,yes
chr4,124671950,124672944,hg19,chr1,38494689,38495688,hs1105,negative,yes
chr4,128714852,128716971,hg19,chr1,33828789,33830947,hs1388,negative,yes
chr4,128804347,128805790,hg19,chr1,33722494,33723960,hs917,negative,yes
chr4,129713467,129714338,hg19,chr1,32510030,32510913,hs645,negative,yes
chr4,131483172,131485713,mm9,chr4,131039087,131041628,mm1297,negative,yes
chr4,132032113,132036152,mm9,chr4,131588028,131592067,mm1387,negative,yes
chr4,132075516,132079227,mm9,chr4,131631431,131635142,mm80,negative,yes
chr4,133116592,133118424,mm9,chr4,132672507,132674339,mm334,negative,yes
chr4,133729052,133730306,hg19,chr1,27049620,27050905,hs569,negative,yes
chr4,134470100,134473977,hg19,chr12,31867650,31868817,hs2043,negative,yes
chr4,135205845,135207207,mm9,chr4,134761760,134763122,mm23,negative,yes
chr4,135256966,135260789,mm9,chr4,134812881,134816704,mm1332,negative,yes
chr4,139830775,139832379,hg19,chr1,18958671,18960284,hs1702,negative,yes
chr4,140010918,140012273,mm9,chr4,139566833,139568188,mm484,negative,yes
chr4,140218145,140219643,mm9,chr4,139774060,139775558,mm8,negative,yes
chr4,141536761,141537859,mm9,chr4,141092676,141093774,mm316,negative,yes
chr4,147965245,147970361,hg19,chr1,11940877,11944112,hs2124,negative,yes
chr4,148708125,148709197,hg19,chr1,10965129,10966144,hs241,negative,yes
chr4,148744315,148744862,hg19,chr1,10925202,10925728,hs417,negative,yes
chr4,148808782,148809417,hg19,chr1,10851570,10852173,hs408,negative,yes
chr4,148855953,148860332,hg19,chr1,10795106,10799241,hs2094,negative,yes
chr4,148876109,148876660,hg19,chr1,10781239,10781744,hs389,negative,yes
chr4,148897229,148898219,hg19,chr1,10757664,10758631,hs361,negative,yes
chr4,148921505,148922573,hg19,chr1,10732070,10733118,hs289,negative,yes
chr4,149044050,149045134,hg19,chr1,10593123,10594209,hs677,negative,yes
chr4,149892946,149894331,hg19,chr1,9431127,9432834,hs1615,negative,yes
chr4,150824121,150825979,hg19,chr1,8130439,8131887,hs1833,positive,yes
chr4,154393163,154397126,hg19,chr1,3262093,3266365,hs1912,negative,yes
chr4,154456295,154457168,hg19,chr1,3190581,3191428,hs705,negative,yes
chr4,154771105,154772345,mm9,chr4,154145214,154146454,mm1088,positive,yes
chr4,155234679,155236167,mm9,chr4,154608788,154610276,mm318,negative,yes
chr5,4833236,4835698,hg19,chr7,90797871,90800712,hs1631,negative,yes
chr5,4856664,4859896,hg19,chr7,90777214,90780836,hs1633,negative,yes
chr5,4875241,4879651,hg19,chr7,90753895,90758080,hs1627,positive,yes
chr5,5007239,5009906,mm9,chr5,5007239,5009906,mm49,negative,yes
chr5,12505539,12509076,mm9,chr5,12505539,12509076,mm832,negative,yes
chr5,15966035,15967426,hg19,chr7,82039621,82041108,hs2419,positive,yes
chr5,20079132,20082788,mm9,chr5,19584950,19588606,mm43,negative,yes
chr5,20493774,20494889,mm9,chr5,19999592,20000707,mm389,negative,yes
chr5,20950023,20950986,mm9,chr5,20455841,20456804,mm390,negative,yes
chr5,21495900,21497355,mm9,chr5,21001718,21003173,mm391,negative,yes
chr5,24341638,24345757,hg19,chr7,150665549,150670065,hs1908,negative,yes
chr5,24730554,24731843,mm9,chr5,24236372,24237661,mm394,negative,yes
chr5,25000813,25002636,hg19,chr7,151439778,151443512,hs2198,negative,yes
chr5,25008595,25011541,hg19,chr7,151453949,151457105,hs2200,negative,yes
chr5,28178923,28180422,hg19,chr7,155264047,155265809,hs1418,negative,yes
chr5,28403755,28404882,hg19,chr7,155547616,155548788,hs1268,positive,yes
chr5,30614016,30616922,hg19,chr2,26942649,26946100,hs1885,negative,yes
chr5,32065704,32067172,mm9,chr5,32368077,32369545,mm135,negative,yes
chr5,33575294,33575875,hg19,chr4,1613479,1614106,hs526,negative,yes
chr5,37818652,37819645,mm9,chr5,38209891,38210884,mm425,negative,yes
chr5,37825669,37829220,mm9,chr5,38216908,38220459,mm426,positive,yes
chr5,37851392,37852219,hg19,chr4,4819733,4820560,hs171,negative,yes
chr5,37901106,37902493,mm9,chr5,38292345,38293732,mm427,negative,yes
chr5,37917742,37918594,mm9,chr5,38308981,38309833,mm428,positive,yes
chr5,37967623,37969196,mm9,chr5,38358862,38360435,mm429,positive,yes
chr5,38060248,38061422,hg19,chr4,4522867,4524050,hs746,negative,yes
chr5,38065055,38066694,mm9,chr5,38456294,38457933,mm928,negative,yes
chr5,38106177,38106996,hg19,chr4,4458793,4459656,hs2303,negative,yes
chr5,38509268,38509899,mm9,chr5,38900507,38901138,mm253,negative,yes
chr5,41165316,41166973,hg19,chr4,12899030,12900803,hs1248,negative,yes
chr5,41199107,41200708,hg19,chr4,12950899,12952450,hs1249,negative,yes
chr5,41261421,41262403,hg19,chr4,13009318,13010327,hs259,positive,yes
chr5,41380511,41381341,hg19,chr4,13126482,13127376,hs1250,negative,yes
chr5,41737620,41739298,hg19,chr4,13517497,13519167,hs916,negative,yes
chr5,42522949,42524031,hg19,chr4,14268833,14269924,hs842,negative,yes
chr5,51591179,51592760,hg19,chr4,23932061,23933692,hs2346,negative,yes
chr5,55976101,55977173,hg19,chr4,28892552,28893688,hs601,negative,yes
chr5,67423706,67424669,hg19,chr4,42150091,42151064,hs847,negative,yes
chr5,72493823,72495406,hg19,chr4,47826466,47828052,hs2414,negative,yes
chr5,74265657,74268205,hg19,chr4,53823605,53826463,hs1509,negative,yes
chr5,74361294,74363523,hg19,chr4,53942283,53944297,hs1668,negative,yes
chr5,74431979,74435797,hg19,chr4,54061474,54065280,hs1460,negative,yes
chr5,75012461,75013668,hg19,chr4,54881222,54882455,hs687,negative,yes
chr5,75071388,75072201,hg19,chr4,54961998,54962796,hs678,negative,yes
chr5,76662343,76666797,hg19,chr4,56919589,56923793,hs1651,negative,yes
chr5,77129880,77130993,mm9,chr5,77558905,77560018,mm770,negative,yes
chr5,77486940,77489925,mm9,chr5,77915965,77918950,mm1340,positive,yes
chr5,78283386,78285475,mm9,chr5,78712411,78714500,mm34,negative,yes
chr5,84811330,84812261,hg19,chr4,66989480,66990366,hs840,negative,yes
chr5,92627753,92628377,mm9,chr5,93056779,93057403,mm187,negative,yes
chr5,92997267,92998294,mm9,chr5,93426293,93427320,mm397,positive,yes
chr5,93131077,93135726,mm9,chr5,93560103,93564752,mm39,negative,yes
chr5,97542962,97543765,hg19,chr4,80426144,80427098,hs1241,negative,yes
chr5,97546822,97547439,hg19,chr4,80430584,80431224,hs1240,negative,yes
chr5,99272413,99275239,mm9,chr5,99701432,99704258,mm1398,negative,yes
chr5,99367893,99370406,mm9,chr5,99796912,99799425,mm678,positive,yes
chr5,101031954,101033223,hg19,chr4,84700011,84701265,hs712,negative,yes
chr5,101496956,101497906,hg19,chr4,85245591,85246555,hs680,negative,yes
chr5,101966725,101970386,mm9,chr5,102395744,102399405,mm1356,negative,yes
chr5,102373255,102375763,mm9,chr5,102802274,102804782,mm680,positive,yes
chr5,106564330,106566018,hg19,chr1,91305562,91307215,hs612,negative,yes
chr5,107221760,107224214,hg19,chr1,92271540,92273987,hs1499,negative,yes
chr5,107250899,107252442,hg19,chr1,92310736,92312231,hs2418,negative,yes
chr5,110898210,110898771,mm9,chr5,111327229,111327790,mm619,negative,yes
chr5,111054483,111055797,hg19,chr22,28746697,28748395,hs1645,negative,yes
chr5,111255885,111257844,mm9,chr5,111684904,111686863,mm920,negative,yes
chr5,111394041,111395158,hg19,chr22,28238313,28239718,hs1271,positive,yes
chr5,111535893,111537132,hg19,chr22,28028233,28029715,hs2415,negative,yes
chr5,111577305,111578296,mm9,chr5,112006325,112007316,mm621,negative,yes
chr5,111601262,111602739,mm9,chr5,112030282,112031759,mm622,negative,yes
chr5,111675073,111676405,mm9,chr5,112104093,112105425,mm921,negative,yes
chr5,113151952,113154228,mm9,chr5,113580972,113583248,mm329,positive,yes
chr5,115266986,115267561,mm9,chr5,115716995,115717570,mm307,negative,yes
chr5,115488390,115491906,mm9,chr5,115938399,115941915,mm723,negative,yes
chr5,118665477,118668878,mm9,chr5,119115486,119118887,mm1366,negative,yes
chr5,119610925,119613436,mm9,chr5,120060934,120063445,mm1177,positive,yes
